0,1,2,3,4,5,6,7,8,9,10,11,12,label
-339.1328,152.15405,-5.7242613,18.186232,6.160085,7.15642,3.0571954,-0.90785086,13.435356,8.550523,9.056704,6.209417,2.3476462,siren
-378.4556,156.17719,15.283506,-8.747949,3.6515675,2.1647503,-5.1079245,0.23691535,12.633272,14.129263,11.873451,7.0384336,0.46818733,siren
-306.4815,169.36414,-2.3233862,2.83739,0.07858191,2.6829655,0.78559715,0.12946084,15.043531,13.362544,11.313941,7.0534515,1.6715583,siren
-246.98514,185.75745,-27.532871,3.1275315,-6.698419,4.321549,-2.3746996,0.70233095,7.5925493,4.1490726,7.369634,-2.1071818,1.3071644,siren
-308.68933,173.1704,-0.45387852,3.386225,-2.9546304,3.3264883,2.8764052,2.2228937,17.735115,12.720136,11.29785,7.050148,0.22080702,siren
-323.28372,168.44116,5.9082804,-1.8763137,-2.0975258,2.0333333,0.74647474,-0.12346368,14.887538,13.827242,12.126741,9.413628,2.4136233,siren
-304.32053,169.89624,-9.954944,10.019891,-4.0941553,1.6809626,0.744916,-2.9000397,17.43621,12.203305,11.479551,8.383734,-0.17531686,siren
-300.74854,178.58546,9.060555,4.5307784,-2.1098382,1.5260128,-3.4257035,3.0761123,17.336773,12.128811,14.466686,8.289937,0.24713133,siren
-241.10434,184.98315,-22.345364,18.046652,-9.079948,6.2132697,3.891109,-3.5473068,17.755772,7.333098,9.190765,4.7466717,1.4676582,siren
-300.87445,172.04773,-2.6729102,8.678123,0.47277498,-4.3741493,-8.8626375,-1.4946718,17.798538,12.694563,11.450434,10.811817,5.964702,siren
-292.31186,171.06885,-0.56508774,13.742367,0.6038909,2.9553804,-0.3472178,-0.9012757,15.353259,10.122688,9.31782,6.3403907,2.4582675,siren
-306.357,176.75693,-10.918175,1.9049683,2.1433256,-4.103433,-5.0317245,-2.4393392,7.319626,6.667509,7.320389,5.6174417,3.6203792,siren
-329.05765,161.98071,2.1307774,4.1671896,0.30168837,3.1592855,-4.080766,-1.5981159,18.262737,15.693013,13.586881,9.486286,2.8895137,siren
-262.87698,177.74948,-26.61573,17.63901,-4.7668676,6.783841,-6.523803,-2.4402833,18.871956,6.8407025,13.050091,3.7562423,2.6324797,siren
-315.94165,169.83887,-3.5389926,1.0249498,-0.75148445,-0.8046917,-5.9190636,0.4802115,20.249306,16.541798,13.755285,9.02397,1.2592978,siren
-311.23444,161.88875,12.292969,-1.9976515,-14.07803,-15.701061,-16.551315,-1.035583,12.138941,7.5173388,12.832385,8.291483,-3.5512853,siren
